pitcher,0,1,2,3,4,5,6,7,8,pca_0,pca_1,pca_2,tsne_0,tsne_1,tsne_2,IDmlbam,WAR,Name_x,Name_y
543699,-0.68709576,1.1723589,0.4072206,0.9920733,1.3424045,0.1808893,1.6158425,-0.49072415,-2.553743,1.5255912526332491,-2.365633078153063,1.0397249743124164,12.696624,-21.775667,1.4642549,543699.0,10.3,Tanner RoarkTanner RoarkTanner RoarkTanner Roark,Tanner Roark
621389,-0.6726306,0.27524102,0.0009629506,-0.89582676,-0.86857146,-1.3392464,0.0770457,-0.31982335,0.5864378,-0.3078597004679584,1.4129530865797324,0.4560782645512929,1.0563414,10.448724,12.833793,621389.0,1.2,Ty Blach,Ty Blach
477132,1.6321028,1.3455278,0.8928441,0.24336272,0.7095315,-0.36925396,-0.38592142,-0.46896708,-0.8749897,2.0771548977636605,-0.3591630754170544,-0.2196032597821523,25.311852,-7.149623,-3.8649292,477132.0,7.9,Clayton KershawClayton Kershaw,Clayton Kershaw
543521,0.2282121,-0.31976333,1.4011449,0.46875805,0.86920124,-0.49513912,-0.82106805,-0.40649968,1.3347632,-0.5512381152290775,0.8975562258773837,-0.0545927417648237,-3.6810896,16.38448,1.5515239,543521.0,2.7,Collin McHugh,Collin McHugh
605182,0.41656756,0.5950551,-0.25827536,1.0478885,-0.63240814,-0.3658907,-1.023661,0.29124853,-0.11452,0.9580096990234016,0.5804598451941843,0.45918218464069,16.826832,0.8097398,13.629595,605182.0,4.2,Mike Clevinger,Mike Clevinger
545333,0.5117989,1.5834664,-1.1272638,-0.5077639,0.14955346,0.5146302,-1.3499788,-0.5262734,-0.85071295,2.1209319882634734,0.039841761361140156,-0.49794780553870527,21.617607,3.0110743,-0.5953241,545333.0,17.0,Trevor BauerTrevor BauerTrevor BauerTrevor BauerTrevor Bauer,Trevor Bauer
450172,0.3117354,-1.983449,0.41039863,-0.16931514,1.7576046,-1.1472512,0.37788823,-0.52837205,-0.5218822,-1.3976727368165767,-1.5921435694112607,0.4784147189742364,-8.659052,-22.471878,-3.096816,450172.0,1.7,Edinson Volquez,Edinson Volquez
452657,0.7494407,-1.3068415,-0.4166818,-0.61796695,0.32113883,0.39461526,0.06433585,-0.7045005,1.0311992,-1.3091000519829967,-0.014491363512990732,-0.9032130622704223,-9.4893465,15.943898,-7.0146437,452657.0,11.9,Jon LesterJon LesterJon LesterJon LesterJon Lester,Jon Lester
489119,1.0968996,0.48411337,-0.49406084,-0.71266085,-0.31418097,-0.42719796,0.1938147,0.71763617,0.06038088,0.6022081410252248,0.1702628162675929,0.079156381435644,7.4705067,-7.257034,6.4051666,489119.0,6.8,Wade MileyWade MileyWade Miley,Wade Miley
622663,-0.76831126,-0.35000822,0.6941204,-1.7719691,0.36573458,1.2114525,-0.5515167,-1.1137546,0.038192306,-0.47158104866935546,0.050296259386862274,-1.9372130406433554,-0.4055864,3.3333933,-19.661127,622663.0,11.0,Luis SeverinoLuis Severino,Luis Severino
519144,0.4354243,0.39100543,1.5435979,2.1431124,0.53486747,0.7680554,0.8233446,1.097041,-0.76481545,0.690307996312274,-1.2622255073850404,0.49405089030144933,13.502986,-20.946203,7.8242183,519144.0,11.299999999999999,Rick PorcelloRick PorcelloRick PorcelloRick Porcello,Rick Porcello
