batter,0,1,2,3,4,5,6,7,8,pca_0,pca_1,pca_2,tsne_0,tsne_1,tsne_2,IDmlbam,WAR,Name_x,Name_y
571745,1.2092887,0.28153643,-0.3642646,-0.6212255,1.3211553,1.124065,1.8718107,0.20665933,0.07086602,-1.9415684005683538,0.3533304993880049,-0.4022084101066585,-26.866335,-1.4047742,-2.103427,571745.0,7.4,Mitch HanigerMitch Haniger,Mitch Haniger
592669,-0.2840225,0.9713905,-0.020461766,2.081232,-0.15629892,1.6129582,-0.047889736,0.80063885,-1.9856486,0.4269840976297582,0.2895654438809451,-1.8244170093664824,4.7222342,-11.663585,-22.735104,592669.0,5.2,Hunter RenfroeHunter RenfroeHunter Renfroe,Hunter Renfroe
630111,-1.380155,0.107636444,0.7958025,0.6869554,1.6457195,-1.2604387,1.2948658,-0.307428,-1.149165,0.014246149030933282,1.0037990101690604,-0.8587500876673206,-2.1609917,26.212276,-10.548316,630111.0,-0.7,Yasmany Tomas,Yasmany Tomas
592273,-2.4244494,-0.46261814,1.6012483,1.1340224,-0.8428598,-0.29772437,1.0409347,-1.0051389,-0.40555045,1.5996944029944038,2.127876023860845,-0.40752799377469373,23.17051,10.564927,-8.953925,592273.0,5.5,Brandon DruryBrandon Drury,Brandon Drury
502671,1.6868764,1.7856066,1.0419105,0.301406,-0.36186847,0.62236774,-0.8176993,0.59751934,-1.680651,-0.7007967582288489,-1.39550743576353,-0.7183940098261253,-9.732618,-11.374803,-2.124941,502671.0,36.5,Paul GoldschmidtPaul GoldschmidtPaul GoldschmidtPaul GoldschmidtPaul GoldschmidtPaul GoldschmidtPaul GoldschmidtPaul Goldschmidt,Paul Goldschmidt
571875,0.39311075,0.043274775,-0.9551313,-1.3353862,0.59696037,1.068652,1.5144126,-0.995273,-1.7121351,-2.144086020730062,0.5197594896672668,-1.009492985689455,-21.798857,6.171085,-8.819978,571875.0,6.5,Jake LambJake Lamb,Jake Lamb
500208,0.45421448,-0.4165702,0.12512995,-1.07161,-0.2165753,-1.8744235,-0.04536489,-1.6047941,-0.90423864,-0.7692793944178518,-0.9682931661074816,0.38536974881655706,-15.460434,-9.334668,10.906201,500208.0,0.9999999999999999,Yangervis SolarteYangervis Solarte,Yangervis Solarte
571976,0.65856624,0.102147594,-0.8633279,-0.83424026,0.5675561,-0.699046,1.0201479,-0.79284686,0.9447505,-1.0204866101031218,-0.26016299856119934,1.2106285105247994,-13.968868,-4.437418,23.050816,571976.0,6.7,Wil MyersWil MyersWil Myers,Wil Myers
516416,0.41273376,0.715194,-0.025449764,1.0292999,0.08182942,-0.81827134,2.8371422,0.5796809,-1.2038931,-1.9484240942695477,0.9372004690992389,-0.056344904351404,-25.098757,10.3492985,1.9177761,516416.0,19.7,Jean SeguraJean SeguraJean SeguraJean SeguraJean SeguraJean Segura,Jean Segura
622534,1.7333452,0.7613759,-0.014038275,0.18398818,1.3536476,0.75306106,-1.3878682,0.79997534,1.3890399,0.3880506660964535,-1.820424089640739,0.18480007379794738,5.5195637,-26.417118,-1.4500885,622534.0,2.9000000000000004,Manuel MargotManuel Margot,Manuel Margot
457705,0.14241365,0.8286691,0.8281144,0.39913818,0.31711367,0.029350463,1.3655753,-0.62881714,-0.437558,-0.5256106156211653,0.4352188463081526,-0.054802639431984185,-11.622687,2.9853976,-8.462232,457705.0,8.6,Andrew McCutchenAndrew McCutchenAndrew McCutchenAndrew McCutchenAndrew McCutchenAndrew McCutchen,Andrew McCutchen
570256,-3.0023415,1.0130165,0.70901144,1.0052309,1.0362742,-0.08397901,1.280398,0.17315315,0.6514139,1.5965911522725291,2.620980507456611,0.3388781195869438,22.265642,14.516011,-5.0332637,570256.0,5.300000000000001,Gregory PolancoGregory Polanco,Gregory Polanco
572039,-0.6543975,0.34946093,0.9909019,0.52427256,1.0241494,-2.0567012,-1.2310139,-1.6423451,-2.101204,0.8947642779999073,-1.3348392837776306,-0.9238355431846605,24.207588,-23.351294,-4.0163956,572039.0,4.9,Stephen PiscottyStephen Piscotty,Stephen Piscotty
425877,0.845018,0.50813174,0.40613917,-0.28653058,-0.500687,-0.47579905,1.6674684,0.8710364,0.9756095,-1.2469433109427064,0.617652380725818,1.2584913624831437,-18.685661,7.1961555,14.896693,425877.0,8.4,Yadier MolinaYadier MolinaYadier Molina,Yadier Molina
459964,-1.3865461,-1.1188847,0.47766325,-1.6110963,-0.895312,0.5688328,0.15006673,0.25460145,-1.6145877,-0.428292208543355,1.7287568287796256,-1.2752321661723818,-9.364477,17.30997,-11.729812,459964.0,2.5,Matt Joyce,Matt Joyce
572761,-0.77575105,0.5134082,-0.6260423,-2.002055,-0.042993505,2.5859058,0.30426756,0.077102974,1.4951748,-0.033790947643993284,1.6939475537705457,0.6360625531852836,-8.69048,26.940544,13.06547,572761.0,11.4,Matt CarpenterMatt CarpenterMatt Carpenter,Matt Carpenter
545341,-0.0897447,0.60284394,-0.39778337,-0.6757566,-0.5175207,0.09416908,1.2651361,0.7202175,0.12992205,-1.0963426973366783,1.0916529890780529,0.7700939540136331,-11.035964,9.683618,11.932031,545341.0,1.9,Randal GrichukRandal GrichukRandal GrichukRandal Grichuk,Randal Grichuk
624428,1.2037135,-1.8025533,0.62465775,-0.31413177,-0.383048,0.018691542,0.31834492,0.18256517,1.3621073,-0.2280094160437093,-0.2783032778030677,0.019752102717418,0.2924375,-8.815824,6.570289,624428.0,8.1,Adam FrazierAdam FrazierAdam FrazierAdam Frazier,Adam Frazier
500874,1.2731919,-0.3329405,-0.43132237,1.2237408,1.2421066,0.6361539,0.107759625,0.6234948,0.5088313,-0.08717598828882558,-0.9364839998813475,-0.7409152371686334,0.7912854,-17.873392,-4.9649534,500874.0,2.1,Jose Martinez,Jose Martinez
596129,-1.5619714,-0.7160729,-1.7258602,1.1044954,0.18169329,0.47516567,-1.1754578,0.7936533,0.69817895,1.8470594568832912,0.44000845272697153,-0.21833500225174118,16.071255,2.3369346,-6.5376225,596129.0,1.2,Daniel Vogelbach,Daniel Vogelbach
572122,0.46252567,0.04111619,0.130482,-0.57194245,0.7897202,0.31373096,-1.6043415,-0.78480345,-2.1347148,-0.0796525548457561,-1.4266027336480458,-1.721508520235363,4.6942244,-23.138138,-14.196213,572122.0,15.2,Kyle SeagerKyle SeagerKyle SeagerKyle SeagerKyle Seager,Kyle Seager
621566,-1.1636333,-0.4936165,0.50447536,0.30580115,-1.1967384,-0.41900402,0.9948692,-1.0192068,-0.11564421,0.4793513864007802,1.2495990645450834,0.30245945594131785,0.9307243,23.507992,4.9243836,621566.0,22.7,Matt OlsonMatt OlsonMatt OlsonMatt OlsonMatt OlsonMatt Olson,Matt Olson
475174,-0.03278002,-0.66878885,0.90883285,-0.066429704,1.7408603,0.69211704,-0.5385178,0.3440099,-0.45382875,0.3807900866238877,-0.1389074473041589,-1.7695627437101276,-2.8897316,2.092493,-24.075718,475174.0,2.5,Yonder AlonsoYonder AlonsoYonder Alonso,Yonder Alonso
592387,1.729729,0.6140086,-1.7075399,-0.2613592,1.368821,0.67949235,1.8842448,0.9804337,-0.66307306,-2.779917604498559,-0.21068206563533917,-0.3861587445047091,-28.93588,-3.2152886,-1.6185619,592387.0,-0.9,Ryon HealyRyon Healy,Ryon Healy
621563,1.1376126,-0.6362568,-1.3130822,0.0027364998,2.3595529,1.6333015,-0.793281,-0.34851694,-0.1475105,-0.20501675899174376,-1.4117460069528565,-1.6860275176788801,13.358614,-23.292631,-13.32112,621563.0,3.9,Joey Wendle,Joey Wendle
592325,-0.04526994,0.7860796,2.5429265,-0.017888898,-0.56458485,-0.88152426,-0.2343315,-1.1586115,-2.040011,0.13157886659285256,-0.32814441215948004,-0.7671847661041881,-10.832215,-1.2949669,-11.268212,592325.0,1.3,Ben Gamel,Ben Gamel
543760,1.2696642,-0.052227564,0.48455328,1.2123352,0.1674732,0.25905883,0.03569397,0.8767424,-1.0449868,-0.47144075105692484,-0.8218592127763786,-1.247621733221806,-4.4817033,-15.882387,-13.39719,543760.0,28.599999999999998,Marcus SemienMarcus SemienMarcus SemienMarcus SemienMarcus SemienMarcus SemienMarcus Semien,Marcus Semien
429664,-0.39755407,-0.7726615,-0.77066016,-1.546247,-0.86793035,-0.17299205,1.7358327,-0.6792273,0.967345,-1.0896373633872718,1.4350107471807012,1.2625082080529597,-7.250796,24.055101,6.9887934,429664.0,10.0,Robinson CanoRobinson Cano,Robinson Cano
519390,-0.4887329,-0.8921403,-0.5796722,1.0296639,-1.0372716,0.30251354,3.0207129,-1.154544,-0.9529621,-1.119456374282965,1.7261520717440435,-0.4559609408569776,-2.575715,27.911661,-2.608451,519390.0,0.2,Stephen Vogt,Stephen Vogt
624424,0.94212776,0.41420183,-0.5378694,1.0704734,-0.89311916,1.913115,1.0165513,-0.49108446,0.2434747,-0.3054414616082302,0.11627582780323421,-0.07425936335930683,-7.309451,18.500484,2.0546622,624424.0,10.100000000000001,Michael ConfortoMichael ConfortoMichael Conforto,Michael Conforto
