batter,0,1,2,3,4,5,6,7,8
446334,1.2560649,1.0546097,-0.77551144,-0.32026234,0.5099608,0.74090666,0.6684346,-1.5505633,0.90235454
543484,-0.22967717,0.41685274,-0.03214528,0.49049538,-1.5770843,1.8252617,-1.5889167,0.32494572,0.056249134
425783,0.24026471,0.06760524,0.6403022,-0.31547517,-0.13860567,-0.10696622,-1.2984415,-0.52452374,-1.0102438
462101,-1.3617427,-1.2989783,-0.4083299,-0.56118006,-0.21742837,0.3101328,-0.4403903,0.7507913,0.45936853
518960,-1.375632,1.200876,1.6079592,-0.3935891,-1.3496518,-1.1181443,-1.0619293,-2.2964177,-0.093177736
134181,1.2362864,0.12443301,1.538043,-2.2468123,0.22004683,1.8595556,0.7616497,0.74354357,0.16640595
136860,-0.47204167,0.9042085,-0.17239828,0.9303088,-0.8311165,-2.245502,0.5108737,-0.556511,-2.0125275
460576,0.16410904,-1.3104947,-1.1865171,0.14189221,0.95635587,2.2432542,-1.285989,0.39415234,0.7215352
594838,1.0564967,0.48848787,0.15743832,-0.20821571,-1.648655,1.3703054,-0.23392922,0.77656794,-1.8717529
488912,0.52564025,0.2586945,0.8518703,-0.60607386,-1.3319575,0.7807274,-1.195334,0.06321212,0.6283261
571745,1.2092887,0.28153643,-0.3642646,-0.6212255,1.3211553,1.124065,1.8718107,0.20665933,0.07086602
572008,-1.2249614,-0.49426156,-0.6502567,-0.24578375,-0.27159,-0.19906266,1.9655365,-0.050770577,-0.47129288
595978,0.22166876,-1.0721761,0.22506395,-0.01889839,0.5639944,0.5397897,-0.49052912,-1.8193413,-0.55843526
572114,0.34274152,1.1459031,-0.04425797,1.6519421,1.293714,-0.50956184,0.4090259,-0.038588237,-0.83654404
592669,-0.2840225,0.9713905,-0.020461766,2.081232,-0.15629892,1.6129582,-0.047889736,0.80063885,-1.9856486
630111,-1.380155,0.107636444,0.7958025,0.6869554,1.6457195,-1.2604387,1.2948658,-0.307428,-1.149165
592273,-2.4244494,-0.46261814,1.6012483,1.1340224,-0.8428598,-0.29772437,1.0409347,-1.0051389,-0.40555045
502671,1.6868764,1.7856066,1.0419105,0.301406,-0.36186847,0.62236774,-0.8176993,0.59751934,-1.680651
571875,0.39311075,0.043274775,-0.9551313,-1.3353862,0.59696037,1.068652,1.5144126,-0.995273,-1.7121351
543105,0.68315977,-0.24002303,-0.63433176,-0.007206214,-1.7454135,-1.4064289,0.2304025,0.13928738,-0.38219893
500208,0.45421448,-0.4165702,0.12512995,-1.07161,-0.2165753,-1.8744235,-0.04536489,-1.6047941,-0.90423864
571976,0.65856624,0.102147594,-0.8633279,-0.83424026,0.5675561,-0.699046,1.0201479,-0.79284686,0.9447505
516416,0.41273376,0.715194,-0.025449764,1.0292999,0.08182942,-0.81827134,2.8371422,0.5796809,-1.2038931
571812,2.2205822,0.5346027,-1.2404014,-1.6693262,0.18168424,-0.5023749,0.57151985,-0.7284594,-1.4577516
622534,1.7333452,0.7613759,-0.014038275,0.18398818,1.3536476,0.75306106,-1.3878682,0.79997534,1.3890399
489267,-0.25677252,-0.22118436,0.014564222,-0.42102447,-1.641259,-0.8350733,0.9968716,0.41649517,0.59522283
596143,-0.6385396,-0.60106575,0.6912203,0.3280002,-0.91513324,-0.7143643,-0.44060877,0.019558014,-1.680239
571863,-0.50656617,-2.249504,-0.44804356,0.037898857,-0.60738236,0.69148815,-0.78267026,-1.0261087,1.191759
518560,0.27863526,0.8915619,0.23275521,-0.4327103,-0.87669027,0.72600794,-0.5308741,-0.26441422,-0.53637314
457705,0.14241365,0.8286691,0.8281144,0.39913818,0.31711367,0.029350463,1.3655753,-0.62881714,-0.437558
570256,-3.0023415,1.0130165,0.70901144,1.0052309,1.0362742,-0.08397901,1.280398,0.17315315,0.6514139
444379,0.14685933,0.3481522,-0.046172917,0.6920655,-0.9470237,1.584748,1.143805,-1.698946,-0.2527745
595386,1.5701315,0.11628661,-0.25349647,1.0879916,-1.3787515,0.32617617,0.6013266,-1.533985,0.3804773
461235,2.3970568,-0.67063534,0.00808917,0.24899904,0.65710473,-0.043910787,0.35341102,0.5805666,0.25523952
594824,-1.6952099,3.589104,-0.920607,-1.0302519,0.7599281,0.15135618,-0.44983077,-0.33182707,-1.4548475
572039,-0.6543975,0.34946093,0.9909019,0.52427256,1.0241494,-2.0567012,-1.2310139,-1.6423451,-2.101204
425877,0.845018,0.50813174,0.40613917,-0.28653058,-0.500687,-0.47579905,1.6674684,0.8710364,0.9756095
465753,3.0061634,-0.7615706,-0.23743305,-0.03148311,-0.8255968,-0.42681965,-0.38878933,0.8823652,0.33046022
518700,1.8363191,0.9724213,-0.3329108,-1.911252,0.76007783,0.64671475,1.5569364,0.51428586,-0.7841677
593700,0.5741421,-0.14035465,-0.21505043,-1.3249462,0.9341826,-1.5342313,2.2368774,0.6605181,-1.3317864
459964,-1.3865461,-1.1188847,0.47766325,-1.6110963,-0.895312,0.5688328,0.15006673,0.25460145,-1.6145877
649557,0.5578142,-1.7990818,1.4323497,-3.1182895,-1.5089684,0.66073865,-0.52437246,1.279672,-0.7513915
