0,1,2,3,4,5,6,7,8,pitcher_id,pitcher
0.37540185,-0.32058418,1.561613,0.12836386,-1.2825274,-2.4095418,-1.444152,1.1191268,-1.3644298,48,519381
-0.09047967,0.97069937,-0.6480111,-0.5216394,2.0374432,-0.549105,-1.4187192,-1.4652159,0.8496646,49,433587
1.1141464,1.9310204,0.8274423,-0.5768595,0.25044516,-0.74621916,0.16874886,-0.1759499,-1.942531,50,593576
-0.7467839,0.26828346,-0.5978793,2.234045,-1.0214212,0.29965708,0.6299153,1.5595999,0.20529895,51,449104
0.011985738,-0.58955985,0.18693303,0.18448517,-0.19494002,0.51212114,0.46899784,0.6541141,-0.44629747,52,570257
0.424739,1.5424054,1.6956737,2.8403447,-1.9898008,2.2207656,-2.56528,-0.47822678,2.3198776,53,592527
0.8074128,-1.0908418,0.5050992,0.7650839,-1.294015,1.9906708,0.42706022,-0.41672727,1.0548619,54,572831
-0.218544,1.0339077,-1.9487238,1.1773313,-0.6047581,0.07834076,0.9724843,0.45751166,1.7986718,55,592340
-0.0864946,0.11247834,0.770858,-2.1631408,1.4588828,1.8162736,0.48499593,0.3679381,-2.159918,56,605396
0.6180267,0.89465374,-0.87481743,-0.77475953,-2.232381,-0.13013431,-0.31249475,-1.8743378,1.0333219,57,519294
0.22440086,-1.1409912,0.8815734,-0.87399,-0.94624436,0.038200952,1.5718142,-0.5826938,0.22477299,58,595191
-0.54242784,-1.3851305,1.4262044,-0.22360015,0.6121715,-0.6775284,-0.51471204,0.89043945,0.8617791,59,460283
-1.8132147,-0.42488918,1.7531537,-0.93364894,-0.7059781,0.44492498,1.9890698,0.5869773,0.20713672,60,593679
0.038719792,0.52674407,-0.05500094,0.38374165,0.06382287,-1.0623515,1.3011799,0.5454031,0.4335609,61,445213
0.91191965,0.6918763,0.8061918,0.9990483,-1.4963442,0.9061903,-0.54364,-0.0866523,-0.86497027,62,571476
-0.3560314,-0.44808176,0.8971886,2.5209613,-1.580076,-1.1318017,1.4625427,0.5431,1.5355896,63,573124
0.37765822,0.025969846,-1.2377096,0.71988374,-0.07246332,-0.069768555,1.5843492,-0.75055325,-1.6046138,64,545363
-0.46418735,-1.5555702,-0.49917716,-0.89198923,0.5452869,0.57927006,-0.5869523,-1.6274202,-0.7847177,65,592872
-0.46960852,-0.9634945,0.6317601,-0.65437436,-2.5714457,-0.55126536,1.9911953,0.1698907,0.1626962,66,594951
-0.85403806,-0.28170094,0.20928165,0.0060975817,0.8372205,1.484965,-0.2417728,0.22396402,-0.4815065,67,573668
-0.8995371,-0.9568482,-2.126412,0.70682424,0.5113066,-0.7224475,2.1552644,-0.7665082,0.84011585,68,621244
0.41158006,-1.0906038,-0.0015951238,-1.1928444,-0.59127796,0.4508458,0.6292765,0.6259345,0.3222285,69,519242
0.23365372,-1.0339154,0.95423836,-0.54113466,0.043645833,0.4149276,-0.23376608,0.1725885,1.1897762,70,608349
0.34751675,-0.057941712,-1.6075815,0.9877706,-1.1021206,-0.8055509,-1.0606858,-1.2100666,0.2936248,71,543734
1.3308724,1.443222,-0.25980005,1.4072196,0.28164944,-0.060381923,0.15062739,0.33351508,0.1545834,72,592804
0.79285985,-0.5861464,0.029059311,1.820426,1.8206501,-1.683794,1.0183502,-1.5500071,0.21015728,73,448614
-1.3869859,-1.5527606,-1.4948204,0.27682734,2.5210462,1.1879325,-0.8097514,1.6106149,1.1827976,74,502522
0.63140833,0.7093909,0.2953664,-1.9180111,-1.093831,0.10208816,-0.5783586,0.79167265,0.95603913,75,608032
0.06157225,1.5919756,0.93389773,-0.059319716,-0.33916235,-0.56134444,-0.39694154,-1.1675849,1.643547,76,430641
-0.7753675,0.37190533,0.72254854,-1.4804354,1.1534116,-1.6887888,1.5146134,-0.84580976,-0.16145015,77,571539
-0.90796226,-1.5949413,0.44907805,0.25350013,1.8339037,0.37441108,-1.3110377,0.9901135,-0.466518,78,608566
-1.2023833,0.64815927,0.9888487,-0.6099108,-0.6343903,-1.0360299,-1.6973891,0.041980416,1.3464016,79,501697
-0.76230663,1.1097634,0.17113428,-1.0831589,-0.34539172,-0.70386827,0.25175408,0.1378728,-0.85891455,80,543746
-0.99347925,0.016591936,0.7246129,2.1791382,0.021850357,1.0744327,2.686767,-1.666709,0.08192254,81,572788
1.3882887,1.7226295,0.22091232,0.7020745,-0.75993407,0.6200275,0.3205406,-0.62665755,0.19945662,82,453343
0.5151398,-0.40589872,1.3434886,0.7339325,-0.46158493,-0.7370698,0.6498344,0.788167,-0.8936246,83,628333
0.72404915,0.37256572,1.5834668,-0.7510819,1.1099495,-0.6214961,-1.5061101,-0.8986322,0.63657475,84,623395
0.78906,0.48501652,0.009740033,0.38322935,-1.088751,1.0905874,1.939436,0.33907476,-0.53069013,85,519301
-0.076678686,0.48521402,-0.78488183,-0.89181954,0.7323932,2.1128113,0.8281952,0.7385323,1.2317272,86,625643
0.12642045,-0.5523915,1.8150425,-0.08729087,-0.42897823,-0.44692373,-0.9566899,-0.77830553,1.4771168,87,543017
0.040271297,-0.08664494,0.04000112,-0.36948192,-0.27576745,0.8986693,0.120064415,-2.2467208,-1.0541165,88,424144
-0.11287757,-0.9094292,-0.35951054,-1.3765175,0.07727925,0.8633343,2.6013103,0.54070693,-1.3697677,89,596331
1.3581728,1.5821941,-0.80389863,0.2151519,-1.2785989,0.29217356,-0.4604753,-0.2894264,1.0330403,90,641627
0.035926092,-0.48416734,0.28888217,0.92994595,-0.9964583,-0.026683932,0.4483626,-0.043387383,-0.850522,91,592169
1.9428959,1.1265086,0.9589015,-1.6159519,-0.9138683,0.08722379,-0.29810628,0.712384,-0.8021367,92,453286
-0.34279534,1.4898206,0.2362552,-0.9456541,-0.35924917,-1.3578978,-1.3533477,-0.69490224,-0.52558845,93,592593
-0.96897984,0.6004088,2.4936466,-0.61124015,0.009561787,0.19163543,1.2911088,0.44231504,-2.3444371,94,543408
