1-tsne,2-tsne,3-tsne,batter_id,batter
-38.035416,1.8521466,9.012036,54,571875
2.0877197,30.319836,19.531412,55,543105
23.659035,-25.500195,12.3873415,56,500208
-19.160234,21.736734,-18.215425,57,571976
27.307213,-13.918402,6.3618145,58,516416
-16.371122,-5.7090893,-21.846054,59,571812
30.404455,8.033787,25.798174,60,622534
12.476726,25.980837,11.6068535,61,489267
26.474174,-10.849349,-15.968788,62,596143
23.194817,25.823923,22.004553,63,571863
-23.681252,1.9325553,-14.894986,64,518560
29.275103,-8.418469,15.476532,65,457705
16.371342,-22.454453,9.358881,66,570256
5.6091256,18.01487,6.449492,67,444379
-28.793541,7.067352,15.404427,68,595386
0.34747562,0.72025794,-35.548225,69,461235
8.855308,39.765682,10.8878355,70,594824
-0.58954644,-15.950478,-21.196737,71,572039
12.247085,30.582561,-19.183567,72,425877
-3.654547,1.4044541,31.101414,73,465753
35.049496,-4.6961203,1.5815083,74,518700
20.552786,-20.918808,-4.5973687,75,593700
23.770271,-15.846733,-4.0598097,76,459964
18.094013,-12.675263,14.780779,77,649557
-13.901251,-11.119827,14.971237,78,572761
-3.2081573,-11.913034,41.278614,79,571431
14.038741,9.789872,39.65612,80,545341
-23.103716,-14.480436,8.59719,81,576397
5.4792056,-19.503593,-1.3170713,82,425509
30.17836,-4.5771804,-4.344377,83,628356
25.298311,-24.907858,1.4546,84,624428
17.262033,-28.329815,-8.8663,85,500874
-0.5666685,32.133354,-16.798298,86,285064
16.378483,-3.7821374,-16.611944,87,425794
-8.207201,27.971655,-4.7267747,88,596129
16.468737,-15.993735,-21.42258,89,572122
38.495502,-1.3405877,-10.504991,90,429711
-17.131098,-1.4405634,12.62743,91,621566
-2.8198614,8.590696,15.767561,92,518649
-15.383739,18.635443,-29.364729,93,622194
12.722563,11.545449,-9.437564,94,572287
-29.736938,3.834601,-9.771654,95,502523
27.68621,5.2353735,17.601538,96,628338
28.494226,-16.469599,1.776788,97,502273
5.619812,5.0696454,9.477215,98,475174
10.083049,12.064478,-20.484795,99,592387
40.306396,4.326544,4.0028033,100,640461
33.62392,-8.5674,-9.539463,101,621563
4.654469,-40.133343,9.647088,102,455104
-13.14131,6.410057,-10.394809,103,592325
-23.717508,5.2522583,5.4996285,104,493193
-3.4802434,26.672266,-3.2709134,105,543760
7.566202,-16.552893,-20.46488,106,519295
-15.961849,25.570545,-3.3483517,107,429664
-22.329885,7.127818,-8.142749,108,519390
-11.74996,-13.401735,-19.305912,109,493472
18.169731,11.111813,-19.775011,110,624424
-2.3748486,-9.042534,5.2298894,111,607043
11.351497,22.732542,8.543852,112,446263
0.55929494,10.822105,27.206636,113,520471
-19.497026,17.73295,-6.995259,114,571437
-2.9616482,0.17354378,-7.26555,115,433217
3.0155382,-5.132617,-39.756577,116,519237
-24.965893,-4.052063,3.6205642,117,429667
-8.917986,31.522972,10.086376,118,596748
-21.668152,23.18642,-10.103231,119,457477
-17.277454,2.9608543,-8.490372,120,608703
-8.738964,-13.934396,21.95984,121,501571
3.5084887,3.9830904,42.733402,122,546318
-3.234394,12.24724,10.1718445,123,517370
-28.246286,-12.726282,14.594694,124,514917
-20.275555,-26.666086,17.048122,125,605125
20.549416,14.152123,-10.881112,126,571841
20.800846,3.2469618,24.924768,127,608700
-4.1910005,-8.238378,18.348652,128,430637
28.733486,10.323227,9.933506,129,425766
-12.704401,-10.116848,25.572924,130,595191
-35.557907,-15.016379,-11.396612,131,457803
-1.0039228,20.38231,13.052096,132,434158
-15.823822,-17.499477,18.779255,133,593679
4.805449,-7.7750096,-23.149553,134,452678
38.781178,-4.000061,-14.405642,135,641313
0.8440665,-31.367182,-6.847329,136,594809
8.00064,4.0097165,-35.906345,137,543776
-29.011805,10.5949335,5.7872863,138,573627
13.229238,-17.110104,29.947697,139,593934
-7.0773478,2.7439957,0.05545666,140,543257
-16.717175,1.4249299,-23.590466,141,593871
-5.569894,7.8503428,-28.45958,142,621439
1.9256117,21.013454,-32.819263,143,570560
32.064808,11.357326,5.340794,144,553882
-21.753725,5.6270957,23.311388,145,453943
1.2942729,31.687275,-18.826708,146,541645
-0.62901443,-8.0018,11.225043,147,502582
-10.4626,4.895588,28.972134,148,571974
-5.6872907,20.292805,32.637333,149,596146
2.6426134,-19.712374,19.771196,150,547989
25.699509,-26.640472,8.115206,151,466320
4.8190937,-11.437314,-6.8957014,152,488671
-11.50053,-35.254982,-14.447153,153,500871
-9.6245775,-31.89875,-9.825512,154,408047
1.6064869,2.9832876,-24.071306,155,453568
-19.80457,12.349991,-12.119619,156,518614
21.421583,-8.02771,26.77998,157,542436
-5.9385486,-17.313028,-21.549768,158,518653
21.928368,-15.566382,20.502531,159,572180
-3.3656187,40.047024,6.16733,160,606115
-21.100796,9.020608,-25.876287,161,541650
3.2802148,-22.225288,17.90461,162,570267
19.387552,1.7929718,20.697023,163,506924
-7.5489283,-9.711923,24.536968,164,641958
11.177796,-25.23644,-3.998637,165,608596
-2.4831188,-29.003698,-21.65509,166,471865
1.6949145,22.26572,25.345022,167,571448
-42.475155,1.342947,1.321521,168,474892
7.4806323,-21.224367,11.589234,169,592680
-16.726355,-5.415216,12.370385,170,542340
0.7878812,11.696561,-31.475052,171,621311
-21.329103,34.96769,-7.076982,172,606132
24.05139,-18.500648,-2.3842285,173,642162
-9.599693,-27.99031,11.020856,174,444489
-0.015786894,9.651062,9.764674,175,571697
-5.818545,5.256067,-21.52372,176,500887
19.224031,-16.054386,13.354926,177,608566
-17.226656,-0.57165337,-4.6918254,178,543590
16.615862,-16.744165,-11.709919,179,572788
1.0818019,-29.34594,-3.5778973,180,489305
-8.579275,7.617385,-36.046104,181,571506
-10.779787,32.49028,-2.7153718,182,592885
-12.578025,-3.0626762,-21.894785,183,452220
-17.731146,23.370996,-19.48163,184,519208
-24.345697,28.242285,-9.096246,185,547180
-28.378702,1.9045361,14.739209,186,519184
41.39901,0.61980045,-5.768835,187,607208
22.821634,-1.330261,-18.887032,188,502317
-1.795279,-7.5472984,29.829203,189,571851
21.977802,29.980732,-2.3968995,190,600474
-32.34747,-1.4368708,28.23917,191,425796
-22.487482,38.03032,-1.1456485,192,542513
4.016638,16.433073,16.354254,193,519317
15.06787,-16.086008,19.288004,194,570639
27.250853,5.258589,14.905704,195,588751
28.21472,-7.239513,-8.673424,196,543329
1.400763,8.496032,31.075357,197,518618
-0.75879663,6.601009,-2.0086038,198,543829
20.315912,3.276248,-34.236973,199,453400
7.445355,3.6063383,38.707817,200,502517
-13.309568,-21.554825,-22.698185,201,457787
23.613024,-7.2683086,-3.915475,202,400085
34.567158,-18.001001,0.27460256,203,453286
-37.294987,-7.2175083,-4.3967986,204,446653
-7.5370374,-13.576456,-7.821611,205,594694
15.951076,-10.751422,22.284998,206,475582
-18.203968,30.76437,-1.2172136,207,445988
-10.11911,24.130249,6.503637,208,543408
6.1526237,-3.1751225,-29.93883,209,574847
6.364498,41.785023,-4.891448,210,624577
-1.7508366,8.202856,8.319377,211,605131
-8.856177,44.792583,6.925868,212,444843
-1.273674,-11.148468,9.480786,213,605412
16.336208,-6.6773496,-30.584324,214,434636
27.538723,0.13292728,1.1024458,215,543063
24.801813,23.189417,7.6884704,216,452254
-3.3210146,-0.08745617,-30.14819,217,457763
-18.13099,-7.2475786,-22.511831,218,474832
-22.37724,2.7764714,4.480312,219,452655
-6.1964545,4.272322,-15.766331,220,502210
-4.898174,-11.078173,2.5620358,221,571771
-14.971791,15.420934,19.086945,222,518586
17.96554,4.346479,-32.722355,223,519043
-26.947327,-29.68683,2.073765,224,543216
-6.1019382,2.3847437,-36.636173,225,592626
15.489165,30.215685,-6.3800583,226,518735
17.224182,-15.186144,4.4868374,227,608369
-17.430826,20.019804,16.10915,228,457759
-21.788452,-14.543698,-25.970385,229,400284
-6.0733385,22.313152,33.48346,230,408236
2.2764711,-16.755186,8.108309,231,435062
-24.222662,-17.504374,-24.850857,232,628317
14.033418,38.43698,-13.873437,233,545358
-5.809287,-8.464753,15.083322,234,607223
4.918495,-6.8242016,22.443174,235,503556
-14.11082,-19.569405,5.984684,236,643603
3.9754424,-7.2117004,-15.733856,237,514888
-25.85645,10.890679,-16.255913,238,542908
32.347134,-5.1390433,17.788307,239,502544
4.2632565,26.118647,12.353357,240,592230
2.221839,25.23293,11.358683,241,643393
-24.672825,-8.925913,-0.14041226,242,606192
15.820913,-7.7685986,5.7769337,243,545350
-23.823177,-8.982138,12.853539,244,592567
-10.816459,1.4974036,22.611376,245,460060
4.1667733,-33.665356,-6.3358717,246,542208
3.934735,36.765896,-3.335174,247,542364
-42.884003,-2.832101,-2.118589,248,596847
-4.3985324,-34.699856,-18.252516,249,527043
-16.045626,15.161931,-7.708482,250,543068
25.779018,-11.037082,17.794756,251,545361
-29.113436,-6.27875,-21.833183,252,594777
10.384823,-6.5292406,25.73323,253,488862
-27.967968,13.089397,-3.3546686,254,592743
-19.296478,-0.40264174,-28.382235,255,543807
7.018211,14.637042,-2.013888,256,457708
7.8689837,5.5144677,27.663618,257,502110
7.615813,0.00034564454,-0.71347433,258,408234
-7.689541,15.03199,-0.5888035,259,457727
-22.620373,-23.494194,5.469972,260,518692
5.2005577,-25.456512,-11.139886,261,611177
26.791124,8.0206785,-12.210293,262,542255
1.6037215,18.1049,-35.0125,263,435079
6.167171,-16.907276,-30.499886,264,400121
-9.1436825,10.362508,-8.51815,265,578428
10.722225,31.790878,17.88996,266,605480
-13.244501,-25.149265,-16.904453,267,621020
-25.30503,15.10063,10.742253,268,607054
-1.9954896,-38.510418,-6.1284356,269,543510
12.429034,8.594746,-21.356262,270,592206
-19.780025,-6.18951,15.407257,271,452095
-16.268818,29.426329,-22.886986,272,455976
9.336119,-28.23656,-25.425243,273,461314
-32.95538,-17.826221,-12.92735,274,527054
7.4133,0.06890062,34.381435,275,434378
4.584331,5.1362085,27.94794,276,449181
19.162142,-24.091389,-2.9381287,277,521692
-0.77956045,-41.788597,6.425689,278,537953
23.14018,20.722187,-0.61620235,279,571980
-28.27532,-7.886749,-27.37252,280,434658
12.895152,-3.0637655,30.55525,281,502082
-32.293236,-9.537722,-11.226521,282,593160
0.27890095,-2.463243,-3.3811915,283,542993
37.169537,12.003353,5.0385556,284,460077
-6.2042093,6.288311,-23.11126,285,608070
1.0326697,-27.656015,-2.0059633,286,435063
10.429001,-37.609592,-11.652806,287,596019
4.2838845,18.81655,-10.56848,288,543401
-27.333189,-12.974784,-0.88135546,289,467793
-11.008154,31.043917,0.83084196,290,424825
-7.8473754,33.182716,-19.322958,291,596144
-8.57696,-21.240122,7.977262,292,444876
-13.926891,12.377662,-17.870995,293,460086
-27.771193,-26.39376,-0.66914827,294,434778
21.97256,-1.7812216,14.725975,295,502481
8.796143,27.65199,-2.103571,296,543228
28.55089,-30.769138,-1.7977674,297,454975
15.548858,-4.079193,2.8721626,298,573113
6.2820435,17.197704,-35.686176,299,571466
3.046675,23.639494,6.1673155,300,575929
-13.149802,2.443458,-30.82657,301,471083
27.422974,16.952482,24.50868,302,519333
4.1724505,-35.737785,-16.173374,303,493128
8.953098,23.625927,-24.109352,304,546991
25.386257,-25.690239,10.529923,305,458085
6.818427,30.226263,-26.551136,306,595879
26.27477,-14.357449,16.769789,307,553993
-12.0127325,9.339379,36.518692,308,594988
-5.925417,13.71164,11.7939625,309,594807
10.786799,-25.015585,13.077307,310,458015
11.936376,18.340527,26.96347,311,600303
-8.328169,10.824709,-27.11926,312,543148
-9.879959,28.252615,-14.914799,313,475243
12.333024,3.2850883,4.344651,314,474443
-1.7289445,-41.200092,10.326353,315,606299
-34.288548,9.629335,7.9716063,316,541608
-38.68276,-8.488091,10.764645,317,624585
15.248001,6.7731366,-12.988196,318,608365
28.601818,-15.381747,-0.13498728,319,450314
-12.353023,10.103008,-20.05038,320,519203
-3.0140314,9.590228,-5.2886534,321,623182
