1-tsne,2-tsne,batter_id,batter
41.774403,-9.9215765,188,502317
-30.030136,-3.998107,189,571851
17.868172,50.005005,190,600474
-43.01918,-8.466881,191,425796
-29.792961,37.055904,192,542513
2.730341,16.465124,193,519317
30.576729,-0.8007084,194,570639
39.074955,-0.38666156,195,588751
23.840788,-12.773291,196,543329
-7.062302,-11.812821,197,518618
25.95442,24.44342,198,543829
23.063526,10.624093,199,453400
3.661993,1.3704455,200,502517
-13.044703,-36.042934,201,457787
21.136843,-14.77803,202,400085
40.692062,-18.01183,203,453286
-46.541145,-8.871186,204,446653
-8.400635,-24.198895,205,594694
18.85374,-12.270507,206,475582
-23.732588,36.688046,207,445988
-2.2690759,23.94785,208,543408
43.505333,26.337975,209,574847
8.848789,34.68886,210,624577
-8.595258,-7.2522116,211,605131
-10.259688,29.869076,212,444843
12.845546,-6.5841947,213,605412
5.4416394,-33.041386,214,434636
30.288975,6.1128435,215,543063
40.539333,-2.402858,216,452254
13.638099,4.915636,217,457763
2.1891854,-6.917158,218,474832
-19.722187,-2.6158383,219,452655
8.767767,-6.404849,220,502210
-12.925853,-8.20883,221,571771
-22.61318,3.464328,222,518586
23.590908,11.524298,223,519043
-21.340874,-22.012207,224,543216
-6.1501436,35.400894,225,592626
8.961087,10.33305,226,518735
34.72443,-9.563698,227,608369
-21.154709,7.2473197,228,457759
-25.077625,19.156256,229,400284
13.483412,25.227781,230,408236
-11.696924,8.698375,231,435062
-25.56503,18.371794,232,628317
-0.16405942,44.04827,233,545358
0.48235556,5.361039,234,607223
14.559937,-13.923446,235,503556
-18.406929,-11.392447,236,643603
-1.6591966,-12.452472,237,514888
-32.858624,5.382099,238,542908
53.69237,1.4494776,239,502544
-18.124666,31.042439,240,592230
-18.56299,31.002855,241,643393
-13.490255,13.298065,242,606192
29.499918,-6.2621,243,545350
-39.709892,-19.379065,244,592567
-0.13142474,-8.009066,245,460060
11.592176,-40.78574,246,542208
5.862983,37.88122,247,542364
17.633095,0.091406606,248,596847
25.468523,-28.501713,249,527043
-24.360989,-34.132423,250,543068
40.121685,-24.804522,251,545361
-27.01534,23.058264,252,594777
13.903879,-12.199108,253,488862
-18.710865,-34.208656,254,592743
-31.390116,18.983643,255,543807
-11.347186,27.353838,256,457708
1.6051459,-1.0481434,257,502110
25.341263,-1.6568923,258,408234
-15.497799,20.461554,259,457727
-24.961124,-24.527119,260,518692
1.1377943,-32.756,261,611177
26.640093,15.797899,262,542255
14.252608,21.839195,263,435079
5.2603498,-5.6019874,264,400121
-9.54328,-20.447025,265,578428
