1-tsne,2-tsne,3-tsne,pitcher_id,pitcher
19.255524,-16.977654,3.5738752,46,592533
-2.4096494,-23.603228,-33.37101,47,640455
-39.71276,-5.353577,-11.829837,48,519381
13.367032,4.2478757,-36.80251,49,433587
-32.742107,-3.059971,11.325655,50,593576
2.7350163,41.503304,12.060929,51,449104
4.915783,-15.308053,-11.903268,52,570257
-1.9983916,40.04755,-0.20629166,53,592527
-1.2575327,-16.0951,-1.5772213,54,572831
-4.3535624,20.685968,-20.533037,55,592340
1.3842363,-21.725464,20.842321,56,605396
-37.895905,-13.248218,-5.0883913,57,519294
-15.537828,-3.3326216,-3.950444,58,595191
18.821783,-8.182079,-21.149155,59,460283
11.274992,-22.223452,-5.1423635,60,593679
-30.840265,15.487527,-11.258879,61,445213
-21.874971,5.7446923,12.747499,62,571476
-7.3720675,32.48398,-10.832695,63,573124
10.770841,4.745308,25.245844,64,545363
19.291412,-7.7904267,8.17908,65,592872
-8.027918,29.386864,19.365221,66,594951
15.69078,-18.991636,21.146229,67,573668
39.306503,-3.4032562,3.4201927,68,621244
2.1722171,-12.125595,-17.065706,69,519242
15.120511,1.6936744,-15.914301,70,608349
-8.247837,11.356846,28.434202,71,543734
-6.2477136,14.944605,-29.940523,72,592804
30.940395,2.241222,25.173296,73,448614
29.3408,4.6481485,-13.535155,74,502522
-24.19228,-7.3608065,-21.121386,75,608032
-19.536184,22.255642,-16.374212,76,430641
10.84114,-11.5147085,27.634047,77,571539
28.826103,-2.0114758,-15.245301,78,608566
-7.5416284,12.392608,-4.244044,79,501697
10.52747,-10.9968605,20.933037,80,543746
14.012987,24.697748,-2.4146633,81,572788
-28.53397,7.002063,1.8364686,82,453343
-10.413717,3.8279586,0.2952444,83,628333
10.120222,8.305694,-32.427692,84,623395
-8.005461,-19.741707,5.541784,85,519301
22.103148,-24.362097,-12.502026,86,625643
9.316603,8.77248,-24.637104,87,543017
-23.229889,7.329812,30.017887,88,424144
6.4450316,-36.860588,17.517817,89,596331
-19.86418,6.1162753,-22.479155,90,641627
-2.4392495,13.030344,17.185751,91,592169
-28.882584,-17.525335,0.465002,92,453286
-26.564243,-2.3279424,2.9751227,93,592593
20.680122,-9.268563,33.454372,94,543408
22.188179,-11.85556,24.2693,95,489265
12.751185,-20.578432,-3.0945263,96,430599
-21.6109,-4.455932,-13.282857,97,519043
-21.828714,22.336054,18.394493,98,520980
-14.54638,-29.397413,-2.9324064,99,594795
-2.031438,-13.346961,-2.9931219,100,622072
-23.824276,-8.2712345,25.887457,101,451661
-0.15504706,7.600112,16.703154,102,501593
7.7743044,9.272276,-36.728058,103,628317
11.764695,-8.5455475,7.1145287,104,457732
-3.1027634,-25.417381,20.865677,105,448609
4.1690497,23.044584,-8.68606,106,500724
-6.01285,-7.4653654,-14.253967,107,594311
5.0916524,-4.7508874,-6.666402,108,468504
-1.693839,-18.147997,24.655863,109,502087
-12.289396,8.604979,-21.36712,110,624586
6.6088033,-0.83848387,-1.2117044,111,572086
25.096622,-12.101882,-17.744398,112,462382
-7.682141,5.6732554,6.232796,113,541652
39.65758,0.60837704,-9.252338,114,542432
-31.971153,-3.6447268,-0.9604183,115,434378
-22.80178,-34.567566,-6.209772,116,527054
-8.660969,-6.772776,38.78675,117,592102
-5.828559,-26.864695,-2.3450317,118,451584
7.621218,-24.183039,15.105379,119,453192
4.3851624,21.597942,4.4799204,120,458708
-9.416449,-24.50183,-2.5315502,121,465657
24.420395,21.57551,-14.957855,122,453178
-16.9996,-1.0740651,-16.85601,123,605218
22.22875,20.014166,-22.686737,124,628452
5.872423,-24.239388,7.9572344,125,518748
-24.712185,23.085136,16.867296,126,475243
-28.16727,25.16175,-7.2423906,127,502028
-11.0393305,1.1208156,-10.944832,128,501925
-18.026428,-21.242054,12.686597,129,456027
0.34660557,1.9265151,-32.408493,130,593974
19.056585,-3.8886023,2.7018654,131,543557
-9.86088,8.491175,14.434434,132,471822
25.096304,-2.2396207,27.315212,133,543294
-10.850312,18.579493,-7.786096,134,596112
25.102114,15.714655,10.074066,135,502154
4.871507,16.075327,12.059229,136,542947
-1.8102455,23.818892,8.291267,137,592332
-19.40846,-21.696499,-1.8274587,138,476589
14.466215,31.370283,1.1280193,139,453284
-3.886345,16.388988,1.8242545,140,518927
25.037197,11.959603,5.6863055,141,570666
10.580728,-30.831207,24.714699,142,518886
28.644688,-6.641357,18.183907,143,276351
-25.612848,-15.580654,-4.1733537,144,523260
27.998198,-1.302407,-5.307067,145,457918
32.369976,7.268995,4.7531867,146,593958
2.3271527,33.8605,-6.626596,147,502706
-7.365772,-14.131424,36.876293,148,592222
11.158797,-6.090626,13.561022,149,407890
-1.6762613,-0.16596645,32.10521,150,543606
13.047926,17.621624,-32.727757,151,599998
6.0477195,-2.192491,-5.118376,152,643327
19.956356,11.642353,-15.01095,153,534812
9.494521,-37.239838,-3.7824433,154,605151
4.986994,-17.134762,7.9572644,155,523848
-1.8893543,-13.08604,-13.143015,156,453385
-22.868933,-26.2381,-9.169028,157,493200
-14.476865,13.953749,7.2412186,158,553878
9.162381,-0.7460878,7.3699193,159,543779
15.171152,10.251946,7.3100066,160,641771
-2.095911,-8.247978,20.738148,161,621199
5.7153625,32.58454,25.324331,162,572096
-16.245771,-2.5948308,23.206419,163,462515
