0,1,2,3,4,5,6,7,8,batter_id,batter
-0.092796676,0.19367571,-0.75049,0.6353235,1.1412076,0.73505706,0.81786996,0.7013115,1.1163877,27,493351
0.29163218,0.3878293,-1.3759909,0.5260723,-0.084128186,-1.100327,0.940678,-0.9473329,1.6632559,28,572128
0.16393097,0.50787145,-0.6756247,1.0547433,-0.3941045,-0.9603524,-0.3335924,1.0410302,-0.70926344,29,608336
1.3264748,0.81493187,-0.85173464,1.766893,-0.18923868,0.074585095,0.9995575,-3.397699,-0.1255787,30,592592
0.9686864,0.33326638,0.32604766,0.849076,-1.5118854,-0.6311617,0.5082045,-0.5082756,-0.053976916,31,608577
0.32999095,1.2943653,1.1528299,0.68261045,-0.52768177,0.026119709,1.5811962,1.1111395,0.76585805,32,593643
0.91977596,0.5171362,-0.5504768,0.48284584,-1.013336,-1.4454694,-1.190308,0.97226334,0.08817282,33,455139
-0.28612185,0.8594332,2.1820955,-1.1899074,0.7028523,-1.7518314,0.72548294,-0.54197365,-0.2916758,34,592419
1.0918028,-1.4817512,-0.3066542,0.10352779,0.034041867,-1.1199293,0.040589128,-0.32767397,0.30585408,35,572816
-0.92577565,1.9795511,0.43673316,2.2939868,0.7708041,-0.46308154,1.2267007,-0.53979343,-0.11464975,36,446334
1.1774448,0.34433627,-0.2976668,-1.5531926,-0.50967556,-0.9835809,-0.64398396,1.5047556,-0.55962896,37,543484
-0.13685778,-0.9583561,-1.2598155,0.3708846,-0.02109856,0.9195499,-2.8445046,0.2863772,-0.7986175,38,425783
-0.22043459,-0.59885216,-0.5586202,1.8770998,0.2447126,2.414187,-0.8412918,0.27533436,-1.694898,39,462101
0.5165073,0.88508034,-0.3300762,-1.933923,0.32879192,0.65630454,1.7129356,1.6047891,1.4054868,40,518960
0.93363816,0.10709691,-0.71876335,0.4050983,-0.11288605,0.6725049,0.70965004,-1.272273,0.69526625,41,134181
-0.02705013,0.9508988,0.031652935,0.1521231,0.8560993,0.95430243,1.7729658,1.5359734,0.18585187,42,136860
0.7497023,-1.0666795,1.764786,0.29175535,-0.22657387,-1.332631,-0.20482773,-0.46499708,-1.8485111,43,460576
1.1603929,-0.17955068,1.2336541,2.0490675,-3.61578,-0.76934975,-1.6537274,0.7190768,-0.04553252,44,594838
-0.14282335,-0.27170372,-0.8164669,1.5136089,-0.5813209,0.07142682,0.8106432,1.4624045,0.7350422,45,488912
-0.464532,0.3382207,0.6794306,0.11466302,0.7913289,-0.6378887,-1.1710485,-2.284028,-0.71507424,46,571745
1.0254887,-0.91944,0.6165102,-0.058812022,0.17224537,0.0917653,1.0606334,0.43725327,1.5146405,47,572008
1.72932,1.641,0.6663575,0.87153524,-0.1106051,0.06012515,0.19885941,-0.8254397,-0.61009073,48,595978
-0.39226204,-1.5621418,0.74880743,-0.41997313,0.74852306,0.08999446,-0.6648785,-0.37539792,0.6535624,49,572114
0.3046681,0.78915,1.5301641,1.0871918,0.22639859,0.1246503,-1.155072,-1.3091627,-0.5140487,50,592669
-1.3678098,0.8002505,-1.4787302,-0.13720308,2.6049142,1.6264186,-0.10281994,-0.013897536,0.60368127,51,630111
-0.773846,-0.17319621,0.70746255,-0.592528,0.41287607,-0.44094712,2.3281736,-0.9415849,-0.33277535,52,592273
0.22841004,-0.52285576,0.9785098,0.93087864,-0.47813565,0.42442268,0.31732792,-0.1725792,1.3477395,53,502671
0.19390732,0.13473429,0.34737483,-0.7724299,-1.3058193,3.172829,-0.16153951,0.38940588,0.53271043,54,571875
1.142059,0.6142631,-1.0485121,1.9203362,-0.29367563,-0.65526986,-0.44665593,0.4656851,1.9142718,55,543105
0.5390987,0.59961647,0.30985788,0.85503006,0.4779852,-0.92490536,-0.88159734,0.19690582,-0.37524244,56,500208
-0.9430089,-0.26129195,0.5564342,-0.8218888,-0.20932646,1.9992995,0.49395508,-1.3888146,0.9664776,57,571976
-1.2258908,1.2681421,1.2319365,-0.31551734,0.45557952,-0.9415794,0.41704118,0.72904104,-0.8138669,58,516416
-1.1553789,1.7445467,-0.65450203,-0.37829983,-0.14216092,0.444397,-0.04377843,-0.92952734,1.6466745,59,571812
0.81526023,0.50755554,1.4682455,-0.12301722,0.3997627,-0.46199426,0.084961124,0.18369699,-3.3587964,60,622534
1.2792538,0.71956,1.3306953,0.5463435,0.34059855,-1.6331623,-1.706746,0.6990888,1.968792,61,489267
