1-tsne,2-tsne,pitcher_id,pitcher
19.787685,0.30581522,167,623430
32.309036,-15.764046,168,518553
-26.032442,-32.370827,169,448281
-40.29447,-20.284378,170,519267
-13.477965,-36.56077,171,543883
21.86054,-17.80359,172,573064
-18.089087,19.903229,173,605194
-27.776474,-6.409765,174,519322
27.189589,-14.835515,175,547874
-31.672998,14.376949,176,544727
-23.645119,29.75654,177,592665
13.624604,-32.18888,178,477569
-22.02497,20.66197,179,456696
28.009945,-12.969625,180,570663
-10.917731,-5.572635,181,572119
27.425764,5.6629424,182,112526
-33.17828,12.32432,183,497807
6.634116,-31.592182,184,607309
-5.272615,3.9513335,185,573589
26.761219,-28.509655,186,608638
-47.38516,6.111662,187,542953
-21.986895,-30.439943,188,502327
-21.27603,26.506432,189,448306
-1.7078117,5.822205,190,606930
3.131545,13.796246,191,493603
5.972761,25.218971,192,543475
-26.688925,-3.08634,193,572750
-29.405895,-23.746902,194,503449
22.98281,7.768428,195,656546
-9.446068,-14.686562,196,475479
1.0053785,-6.896357,197,519240
11.531654,-13.123635,198,518875
19.246046,-5.4034896,199,407845
9.436775,-25.17025,200,430661
-8.823955,21.101402,201,595014
1.2156148,-19.42502,202,543699
-8.601177,38.004486,203,612672
-9.417533,33.54129,204,445276
-8.441332,5.9686546,205,621389
32.33801,8.001241,206,477132
22.91529,-23.983448,207,571704
3.8540003,28.880423,208,519085
-15.796923,3.2368202,209,543521
35.323605,-17.598385,210,474284
-2.2781737,2.726224,211,501625
40.775158,21.805338,212,500610
30.405853,8.702286,213,592091
5.661427,32.98263,214,573046
-7.0017424,-54.407536,215,572140
8.224405,21.73346,216,458677
-6.096771,7.147738,217,475054
-14.778336,-22.967361,218,606291
-5.2104807,-30.715868,219,594986
-23.484755,-22.716284,220,572888
28.964853,36.002884,221,594760
-13.628984,-4.877514,222,543935
2.4496002,45.059116,223,519455
30.760191,-11.036879,224,572044
-5.304846,-0.11854953,225,641838
21.068989,-27.614014,226,621381
25.551176,17.835926,227,605182
3.4848163,20.90914,228,453249
29.151894,-26.304787,229,545333
11.201701,30.346407,230,518397
6.9794273,29.782902,231,450172
11.88555,-27.991306,232,547973
0.11723288,2.9365435,233,547179
12.532935,36.022507,234,444468
25.55857,-9.048007,235,467008
23.145756,3.533204,236,452657
-17.124632,22.952906,237,534947
10.354378,-22.831976,238,476454
-19.508049,11.900396,239,543118
-14.004014,-22.389763,240,542960
-35.988373,11.929747,241,643354
3.3807335,33.7093,242,461325
0.53477585,31.039352,243,571710
44.541138,4.5734468,244,489119
4.295888,-0.8395233,245,489446
5.745343,-15.181892,246,656547
39.226604,-23.265133,247,622663
3.1836953,-43.374065,248,572193
-0.37728065,-25.123417,249,571901
-2.9839344,-21.11638,250,493157
14.500879,16.747139,251,519144
40.714703,-1.2366389,252,462136
-9.207042,-21.191273,253,473879
16.958084,-16.42614,254,544836
25.878897,-22.697226,255,456713
8.051895,37.683834,256,501817
7.2783594,-3.9921458,257,476123
40.352894,-1.4181647,258,542882
-11.148739,31.388828,259,506433
28.070328,26.28675,260,571578
-10.590437,-29.273895,261,594857
-32.004658,28.875734,262,429719
19.450495,-8.395965,263,640463
0.66918033,11.202162,264,571800
42.959328,3.1928954,265,452061
-34.569267,-30.839643,266,593372
-17.690434,1.9313273,267,607192
-4.522342,-28.269922,268,594943
-27.112608,8.271178,269,592836
-6.760314,9.009603,270,593417
-10.418534,42.232628,271,472610
-2.195884,37.37235,272,594742
-5.738272,29.423326,273,607229
-14.04192,-22.870064,274,592454
25.37727,14.230017,275,518858
-0.8755486,13.971968,276,572990
6.9121146,10.045996,277,534737
14.31349,-36.341923,278,607074
-39.754772,-21.187637,279,608648
25.598503,14.48679,280,518452
-6.0008936,-53.767033,281,608718
15.832644,27.014515,282,573109
20.791973,-8.905553,283,430634
8.575477,0.7626078,284,514669
-24.82028,15.231785,285,445197
-13.910256,19.064749,286,488768
