pitcher,0,1,2,3,4,5,6,7,8
543272,-0.21146417,-1.4117527,1.1594846,-0.6773206,-0.1568217,-0.75302094,2.4709432,0.87470096,-0.28557992
543339,0.96240056,0.62140614,0.111066855,-0.8586081,0.50452995,-0.13870764,0.54953134,-0.27242047,0.26762456
517414,0.048979584,-0.33206546,-0.6638542,0.8807735,-1.6483004,0.14418714,0.64613044,1.7934732,-0.44044122
453344,-1.5420803,0.81402475,0.19284905,1.33011,0.53577214,-0.82918644,-0.043761622,0.17616825,-0.30987075
611093,1.1101387,-0.077364534,0.3563319,-1.1498011,-0.889341,0.025746433,0.42644435,-1.3549093,1.4882501
643355,0.74174213,0.16035934,0.56361955,-1.1955298,-1.0506896,-1.609428,-0.21993679,-1.5541425,1.049316
518560,-1.0482457,0.031370264,-1.2749373,1.2478076,-0.21652761,2.2928336,1.7350997,-1.5605713,-0.42507544
571863,-0.36357984,2.1963165,0.40893897,-1.5639104,-0.5991612,-1.474937,0.5517099,-1.7325166,1.9320562
518883,0.28236347,2.0831246,0.67503214,-0.29237428,0.65468425,0.76590186,0.20290048,-0.4933112,-1.3368691
592866,-0.24372381,0.8412149,1.5388259,0.799856,-0.38653708,-2.5492415,0.4116879,-0.6922672,-1.5347674
453281,1.6284658,2.9672194,0.68259025,-0.3619729,-1.7825869,-1.3794749,0.92557824,0.8790764,0.04595807
504379,-0.16317034,1.1459026,-0.54951274,1.931459,-2.096635,0.29030305,0.02598519,0.7383622,0.16788645
455009,0.0068600173,0.46203753,-1.6718434,-1.2417055,0.3329705,0.8329389,1.2299877,-0.0650315,0.14992371
453172,-0.4294304,1.2725579,-0.6454688,1.5614012,-0.7985927,-0.14873987,0.42418134,2.0211565,-0.29504058
455374,1.2612545,-1.6165622,-0.31864643,0.56031734,0.3751491,-0.26470608,-0.52420324,-0.51317275,-0.6968318
425794,1.0857859,-0.33800715,0.2799317,0.050372317,-1.0911821,-0.40048364,-0.09895183,-0.7635162,-0.88366675
285064,-1.8531419,2.848351,0.2261764,-0.32811308,0.8616972,-1.7309968,0.8677531,-0.55282396,-0.53750473
446099,-0.87697023,0.46168578,-0.06382632,-0.003498127,0.024218712,-0.60007614,-0.3214073,-0.6620352,0.52911854
656186,-2.3692148,2.5377507,0.6185872,1.5627892,0.6027055,-0.9214167,0.67498654,-1.0716072,-0.7634223
