first,last,given,nick,id,full_name
Justin,Bour,Justin James,,571506,Justin Bour
Erik,Swanson,Erik Donald,,657024,Erik Swanson
Luke,Voit,Louis Linwood,,572228,Luke Voit
Jake,Jewell,Jake R.,,657228,Jake Jewell
Chuckie,Robinson,Charles,,642020,Chuckie Robinson
Enmanuel,De Jesus,Enmanuel Jose,,646241,Enmanuel De Jesus
Brandon,Belt,Brandon Kyle,Baby Giraffe,474832,Brandon Belt
Rylan,Bannon,Rylan Thomas,,676625,Rylan Bannon
Robinson,Canó,Robinson Jose,,429664,Robinson Canó
Sam,Moll,Samuel John,,594580,Sam Moll
Blake,Trahan,Blake Matthew,,664167,Blake Trahan
Jose,Espada,Jose Manuel,,664744,Jose Espada
Carson,Smith,Carson Donald,,605476,Carson Smith
Joe,Ryan,Joseph Philip,,657746,Joe Ryan
Chase,d'Arnaud,Chase Jonathan,,488818,Chase d'Arnaud
Brett,Eibner,Brett William,,518649,Brett Eibner
Dakota,Hudson,Dakota Ryan,,641712,Dakota Hudson
Franmil,Reyes,Franmil Federico,,614177,Franmil Reyes
Logan,Webb,Logan T.,,657277,Logan Webb
Tyler,Holton,Weston Tyler,,663947,Tyler Holton
Jake,Cave,Andrew Jacob,,595909,Jake Cave
John,Curtiss,John Pickens,,595928,John Curtiss
Akil,Baddoo,Akil Neomon,,668731,Akil Baddoo
Matt,Cain,Matthew Thomas,,430912,Matt Cain
Will,Brennan,William Daniel,,686823,Will Brennan
Jonathan,Davis,Jonathan Rayshad,,641505,Jonathan Davis
Luis,Sardiñas,Luis Alexander,,596143,Luis Sardiñas
Antonio,Bastardo,Antonio Francisco,,455374,Antonio Bastardo
Paul,Fry,Paul Raymond,,643316,Paul Fry
Luis,García,Luis Amado,,472610,Luis García
Jason,Wheeler,Jason McDonald,,605528,Jason Wheeler
Alex,Wimmers,Alex Michael,,592872,Alex Wimmers
Josh,Tomlin,Joshua Aubrey,Little Cowboy,458708,Josh Tomlin
René,Rivera,René,,425784,René Rivera
Trevor,Williams,Trevor Anthony,,592866,Trevor Williams
Brandon,Leibrandt,Brandon Charles,,605335,Brandon Leibrandt
Raudy,Read,Raudy Miguel,,600466,Raudy Read
Corey,Knebel,Corey Andrew,,608349,Corey Knebel
Jake,Smolinski,Jacob Michael,,519295,Jake Smolinski
Mike,Mayers,Michael Christopher,,594577,Mike Mayers
Rowan,Wick,Rowan David,,592858,Rowan Wick
Todd,Frazier,Todd Brian,,453943,Todd Frazier
Nolan,Fontana,Nolan David,,545337,Nolan Fontana
Blake,Wood,Blake Daniel,,502028,Blake Wood
Taylor,Featherston,Taylor Joseph,,605227,Taylor Featherston
Hunter,Greene,Christian Hunter,,668881,Hunter Greene
Yoenis,Céspedes,Yoenis,,493316,Yoenis Céspedes
Rafael,Montero,Rafael,,606160,Rafael Montero
Hyeon-jong,Yang,Hyeon-jong,,660365,Hyeon-jong Yang
Wynton,Bernard,Wynton Allen,,592144,Wynton Bernard
Dario,Agrazal,Dario Abdiel,,642607,Dario Agrazal
Yoendrys,Gómez,Yoendrys Adrian,,672782,Yoendrys Gómez
Ryan,McKenna,Ryan Shea,,663630,Ryan McKenna
Harold,Ramírez,Harold Andres,,623912,Harold Ramírez
Landen,Roupp,Landen Brice,,694738,Landen Roupp
Tyler,Danish,Tyler Michael,,641501,Tyler Danish
Chris,O'Grady,Christopher Ryan,,622217,Chris O'Grady
Trevor,Larnach,Trevor John-Ikaiakaloa,,663616,Trevor Larnach
